Time [s],bbb,ce,mosi,sck,csn,miso,ccc,trig,,,,,,
-0.000382229,1,1,0,0,1,0,0,0,-382.229,,,,,
-0.00035475,1,0,0,0,1,0,0,0,-354.75,,stop_listening(),ce->0,,
-0.0003085,1,0,0,0,0,0,0,0,-308.5,,,,,
-0.000281125,1,0,1,0,0,0,0,0,-281.125,,,,,
-0.000281,1,0,1,1,0,0,0,0,-281,,stop_listening(),flush_tx,,
-0.000280875,1,0,1,0,0,0,0,0,-280.875,,,,,
-0.00028075,1,0,1,1,0,0,0,0,-280.75,,,,,
-0.000280625,1,0,1,0,0,0,0,0,-280.625,,,,,
-0.000280375,1,0,1,1,0,0,0,0,-280.375,,,,,
-0.00028025,1,0,0,0,0,0,0,0,-280.25,,,,,
-0.000280125,1,0,0,1,0,0,0,0,-280.125,,,,,
-0.00028,1,0,0,0,0,1,0,0,-280,,,,,
-0.000279875,1,0,0,1,0,1,0,0,-279.875,,,,,
-0.00027975,1,0,0,0,0,1,0,0,-279.75,,,,,
-0.000279625,1,0,0,1,0,1,0,0,-279.625,,,,,
-0.0002795,1,0,0,0,0,1,0,0,-279.5,,,,,
-0.000279375,1,0,0,1,0,1,0,0,-279.375,,,,,
-0.00027925,1,0,1,0,0,0,0,0,-279.25,,,,,
-0.000279125,1,0,1,1,0,0,0,0,-279.125,,,,,
-0.000279,1,0,0,0,0,0,0,0,-279,,,,,
-0.000270875,1,0,0,0,1,0,0,0,-270.875,,,,,
-0.000236625,1,0,0,0,0,0,0,0,-236.625,,,,,
-0.0002205,1,0,1,0,0,0,0,0,-220.5,,,,,
-0.000220375,1,0,1,1,0,0,0,0,-220.375,,stop_listening(),flush_rx,,
-0.00022025,1,0,1,0,0,0,0,0,-220.25,,,,,
-0.000220125,1,0,1,1,0,0,0,0,-220.125,,,,,
-0.00022,1,0,1,0,0,0,0,0,-220,,,,,
-0.000219875,1,0,1,1,0,0,0,0,-219.875,,,,,
-0.00021975,1,0,0,0,0,0,0,0,-219.75,,,,,
-0.000219625,1,0,0,1,0,0,0,0,-219.625,,,,,
-0.0002195,1,0,0,0,0,1,0,0,-219.5,,,,,
-0.000219375,1,0,0,1,0,1,0,0,-219.375,,,,,
-0.00021925,1,0,0,0,0,1,0,0,-219.25,,,,,
-0.000219125,1,0,0,1,0,1,0,0,-219.125,,,,,
-0.000219,1,0,1,0,0,1,0,0,-219,,,,,
-0.000218875,1,0,1,1,0,1,0,0,-218.875,,,,,
-0.00021875,1,0,0,0,0,0,0,0,-218.75,,,,,
-0.000218625,1,0,0,1,0,0,0,0,-218.625,,,,,
-0.0002185,1,0,0,0,0,0,0,0,-218.5,,,,,
-0.000212375,1,0,0,0,1,0,0,0,-212.375,,,,,
0,1,0,0,0,1,0,0,1,0,,initiator(),trig.on,,
0.00022325,1,0,0,0,0,0,0,1,223.25,,send_start(),reg_read(CONFIG),0x0F,
0.000247375,1,0,0,1,0,0,0,1,247.375,,,,,
0.0002475,1,0,0,0,0,0,0,1,247.5,,,,,
0.000247625,1,0,0,1,0,0,0,1,247.625,,,,,
0.00024775,1,0,0,0,0,0,0,1,247.75,,,,,
0.000247875,1,0,0,1,0,0,0,1,247.875,,,,,
0.000248,1,0,0,0,0,0,0,1,248,,,,,
0.000248125,1,0,0,1,0,0,0,1,248.125,,,,,
0.00024825,1,0,0,0,0,1,0,1,248.25,,,,,
0.000248375,1,0,0,1,0,1,0,1,248.375,,,,,
0.0002485,1,0,0,0,0,1,0,1,248.5,,,,,
0.000248625,1,0,0,1,0,1,0,1,248.625,,,,,
0.00024875,1,0,0,0,0,1,0,1,248.75,,,,,
0.000248875,1,0,0,1,0,1,0,1,248.875,,,,,
0.000249,1,0,0,0,0,0,0,1,249,,,,,
0.000249125,1,0,0,1,0,0,0,1,249.125,,,,,
0.00024925,1,0,0,0,0,0,0,1,249.25,,,,,
0.0002615,1,0,0,1,0,0,0,1,261.5,,,,,
0.000261625,1,0,0,0,0,0,0,1,261.625,,,,,
0.00026175,1,0,0,1,0,0,0,1,261.75,,,,,
0.000261875,1,0,0,0,0,0,0,1,261.875,,,,,
0.000262,1,0,0,1,0,0,0,1,262,,,,,
0.000262125,1,0,0,0,0,0,0,1,262.125,,,,,
0.00026225,1,0,0,1,0,0,0,1,262.25,,,,,
0.000262375,1,0,0,0,0,1,0,1,262.375,,,,,
0.0002625,1,0,0,1,0,1,0,1,262.5,,,,,
0.000262625,1,0,0,0,0,1,0,1,262.625,,,,,
0.00026275,1,0,0,1,0,1,0,1,262.75,,,,,
0.000262875,1,0,0,0,0,1,0,1,262.875,,,,,
0.000263,1,0,0,1,0,1,0,1,263,,,,,
0.000263125,1,0,0,0,0,1,0,1,263.125,,,,,
0.00026325,1,0,0,1,0,1,0,1,263.25,,,,,
0.000263375,1,0,0,0,0,0,0,1,263.375,,,,,
0.0002735,1,0,0,0,1,0,0,1,273.5,,,,,
0.0003115,1,0,0,0,0,0,0,1,311.5,,send_start(),reg_write(CONFIG),0x0E,
0.00033525,1,0,0,1,0,0,0,1,335.25,,,,,
0.000335375,1,0,0,0,0,0,0,1,335.375,,,,,
0.0003355,1,0,0,1,0,0,0,1,335.5,,,,,
0.000335625,1,0,1,0,0,0,0,1,335.625,,,,,
0.00033575,1,0,1,1,0,0,0,1,335.75,,,,,
0.000335875,1,0,0,0,0,0,0,1,335.875,,,,,
0.000336,1,0,0,1,0,0,0,1,336,,,,,
0.000336125,1,0,0,0,0,1,0,1,336.125,,,,,
0.00033625,1,0,0,1,0,1,0,1,336.25,,,,,
0.000336375,1,0,0,0,0,1,0,1,336.375,,,,,
0.0003365,1,0,0,1,0,1,0,1,336.5,,,,,
0.000336625,1,0,0,0,0,1,0,1,336.625,,,,,
0.00033675,1,0,0,1,0,1,0,1,336.75,,,,,
0.000336875,1,0,0,0,0,0,0,1,336.875,,,,,
0.000337,1,0,0,1,0,0,0,1,337,,,,,
0.000337125,1,0,0,0,0,0,0,1,337.125,,,,,
0.00037775,1,0,0,1,0,0,0,1,377.75,,,,,
0.000377875,1,0,0,0,0,0,0,1,377.875,,,,,
0.000378,1,0,0,1,0,0,0,1,378,,,,,
0.000378125,1,0,0,0,0,0,0,1,378.125,,,,,
0.00037825,1,0,0,1,0,0,0,1,378.25,,,,,
0.000378375,1,0,0,0,0,0,0,1,378.375,,,,,
0.0003785,1,0,0,1,0,0,0,1,378.5,,,,,
0.000378625,1,0,1,0,0,0,0,1,378.625,,,,,
0.00037875,1,0,1,1,0,0,0,1,378.75,,,,,
0.000378875,1,0,1,0,0,0,0,1,378.875,,,,,
0.000379,1,0,1,1,0,0,0,1,379,,,,,
0.000379125,1,0,1,0,0,0,0,1,379.125,,,,,
0.00037925,1,0,1,1,0,0,0,1,379.25,,,,,
0.000379375,1,0,0,0,0,0,0,1,379.375,,,,,
0.0003795,1,0,0,1,0,0,0,1,379.5,,,,,
0.000379625,1,0,0,0,0,0,0,1,379.625,,,,,
0.000391,1,0,0,0,1,0,0,1,391,,,,,
0.000597,1,0,0,0,0,0,0,1,597,,send_start(),cs->0,,
0.000615,1,0,1,0,0,0,0,1,615,,,,,
0.000615125,1,0,1,1,0,0,0,1,615.125,,send_start(),spi.readinto W_TX_PAYLOAD,,
0.000615375,1,0,0,0,0,0,0,1,615.375,,,,,
0.0006155,1,0,0,1,0,0,0,1,615.5,,,,,
0.000615625,1,0,1,0,0,0,0,1,615.625,,,,,
0.00061575,1,0,1,1,0,0,0,1,615.75,,,,,
0.000615875,1,0,0,0,0,0,0,1,615.875,,,,,
0.000616,1,0,0,1,0,0,0,1,616,,,,,
0.000616125,1,0,0,0,0,1,0,1,616.125,,,,,
0.00061625,1,0,0,1,0,1,0,1,616.25,,,,,
0.000616375,1,0,0,0,0,1,0,1,616.375,,,,,
0.0006165,1,0,0,1,0,1,0,1,616.5,,,,,
0.000616625,1,0,0,0,0,1,0,1,616.625,,,,,
0.00061675,1,0,0,1,0,1,0,1,616.75,,,,,
0.000616875,1,0,0,0,0,0,0,1,616.875,,,,,
0.000617,1,0,0,1,0,0,0,1,617,,,,,
0.000617125,1,0,0,0,0,0,0,1,617.125,,,,,
0.000635,1,0,0,1,0,0,0,1,635,,,,,
0.000635125,1,0,1,0,0,0,0,1,635.125,,,,,
0.00063525,1,0,1,1,0,0,0,1,635.25,,,,,
0.000635375,1,0,0,0,0,0,0,1,635.375,,,,,
0.0006355,1,0,0,1,0,0,0,1,635.5,,,,,
0.000635625,1,0,0,0,0,0,0,1,635.625,,,,,
0.00063575,1,0,0,1,0,0,0,1,635.75,,,,,
0.000635875,1,0,1,0,0,0,0,1,635.875,,,,,
0.000636,1,0,1,1,0,0,0,1,636,,,,,
0.000636125,1,0,0,0,0,0,0,1,636.125,,,,,
0.00063625,1,0,0,1,0,0,0,1,636.25,,,,,
0.000636375,1,0,0,0,0,0,0,1,636.375,,,,,
0.0006365,1,0,0,1,0,0,0,1,636.5,,,,,
0.000636625,1,0,1,0,0,0,0,1,636.625,,,,,
0.00063675,1,0,1,1,0,0,0,1,636.75,,,,,
0.000636875,1,0,0,0,0,0,0,1,636.875,,,,,
0.00063725,1,0,1,0,0,0,0,1,637.25,,,,,
0.000637375,1,0,1,1,0,0,0,1,637.375,,,,,
0.0006375,1,0,1,0,0,0,0,1,637.5,,,,,
0.000637625,1,0,1,1,0,0,0,1,637.625,,,,,
0.00063775,1,0,0,0,0,0,0,1,637.75,,,,,
0.000637875,1,0,0,1,0,0,0,1,637.875,,,,,
0.000638,1,0,0,0,0,0,0,1,638,,,,,
0.000638125,1,0,0,1,0,0,0,1,638.125,,,,,
0.00063825,1,0,1,0,0,0,0,1,638.25,,,,,
0.000638375,1,0,1,1,0,0,0,1,638.375,,,,,
0.0006385,1,0,1,0,0,0,0,1,638.5,,,,,
0.000638625,1,0,1,1,0,0,0,1,638.625,,,,,
0.00063875,1,0,0,0,0,0,0,1,638.75,,,,,
0.000638875,1,0,0,1,0,0,0,1,638.875,,,,,
0.000639,1,0,1,0,0,0,0,1,639,,,,,
0.000639125,1,0,1,1,0,0,0,1,639.125,,,,,
0.00063925,1,0,0,0,0,0,0,1,639.25,,,,,
0.00063975,1,0,0,1,0,0,0,1,639.75,,,,,
0.000639875,1,0,1,1,0,0,0,1,639.875,,,,,
0.00064,1,0,1,0,0,0,0,1,640,,,,,
0.000640125,1,0,1,1,0,0,0,1,640.125,,,,,
0.00064025,1,0,1,0,0,0,0,1,640.25,,,,,
0.000640375,1,0,1,1,0,0,0,1,640.375,,,,,
0.0006405,1,0,0,0,0,0,0,1,640.5,,,,,
0.000640625,1,0,0,1,0,0,0,1,640.625,,,,,
0.00064075,1,0,1,0,0,0,0,1,640.75,,,,,
0.000640875,1,0,1,1,0,0,0,1,640.875,,,,,
0.000641,1,0,0,0,0,0,0,1,641,,,,,
0.000641125,1,0,0,1,0,0,0,1,641.125,,,,,
0.00064125,1,0,0,0,0,0,0,1,641.25,,,,,
0.000641375,1,0,0,1,0,0,0,1,641.375,,,,,
0.0006415,1,0,1,0,0,0,0,1,641.5,,,,,
0.000641625,1,0,1,1,0,0,0,1,641.625,,,,,
0.00064175,1,0,0,0,0,0,0,1,641.75,,,,,
0.00064225,1,0,0,1,0,0,0,1,642.25,,,,,
0.000642375,1,0,0,0,0,0,0,1,642.375,,,,,
0.0006425,1,0,0,1,0,0,0,1,642.5,,,,,
0.000642625,1,0,0,0,0,0,0,1,642.625,,,,,
0.00064275,1,0,0,1,0,0,0,1,642.75,,,,,
0.000642875,1,0,1,0,0,0,0,1,642.875,,,,,
0.000643,1,0,1,1,0,0,0,1,643,,,,,
0.000643125,1,0,0,0,0,0,0,1,643.125,,,,,
0.00064325,1,0,0,1,0,0,0,1,643.25,,,,,
0.000643375,1,0,1,0,0,0,0,1,643.375,,,,,
0.0006435,1,0,1,1,0,0,0,1,643.5,,,,,
0.000643625,1,0,0,0,0,0,0,1,643.625,,,,,
0.00064375,1,0,0,1,0,0,0,1,643.75,,,,,
0.000643875,1,0,0,0,0,0,0,1,643.875,,,,,
0.000644,1,0,0,1,0,0,0,1,644,,,,,
0.000644125,1,0,0,0,0,0,0,1,644.125,,,,,
0.000644625,1,0,0,1,0,0,0,1,644.625,,,,,
0.00064475,1,0,0,0,0,0,0,1,644.75,,,,,
0.000644875,1,0,0,1,0,0,0,1,644.875,,,,,
0.000645,1,0,0,0,0,0,0,1,645,,,,,
0.000645125,1,0,0,1,0,0,0,1,645.125,,,,,
0.000645375,1,0,0,0,0,0,0,1,645.375,,,,,
0.0006455,1,0,0,1,0,0,0,1,645.5,,,,,
0.000645625,1,0,0,0,0,0,0,1,645.625,,,,,
0.00064575,1,0,0,1,0,0,0,1,645.75,,,,,
0.000645875,1,0,0,0,0,0,0,1,645.875,,,,,
0.000646,1,0,0,1,0,0,0,1,646,,,,,
0.000646125,1,0,1,0,0,0,0,1,646.125,,,,,
0.00064625,1,0,1,1,0,0,0,1,646.25,,,,,
0.000646375,1,0,1,0,0,0,0,1,646.375,,,,,
0.0006465,1,0,1,1,0,0,0,1,646.5,,,,,
0.000646625,1,0,0,0,0,0,0,1,646.625,,,,,
0.000647125,1,0,0,1,0,0,0,1,647.125,,,,,
0.00064725,1,0,0,0,0,0,0,1,647.25,,,,,
0.000647375,1,0,0,1,0,0,0,1,647.375,,,,,
0.0006475,1,0,0,0,0,0,0,1,647.5,,,,,
0.000647625,1,0,0,1,0,0,0,1,647.625,,,,,
0.00064775,1,0,0,0,0,0,0,1,647.75,,,,,
0.000647875,1,0,0,1,0,0,0,1,647.875,,,,,
0.000648,1,0,0,0,0,0,0,1,648,,,,,
0.000648125,1,0,0,1,0,0,0,1,648.125,,,,,
0.00064825,1,0,0,0,0,0,0,1,648.25,,,,,
0.000648375,1,0,0,1,0,0,0,1,648.375,,,,,
0.0006485,1,0,0,0,0,0,0,1,648.5,,,,,
0.000648625,1,0,0,1,0,0,0,1,648.625,,,,,
0.00064875,1,0,0,0,0,0,0,1,648.75,,,,,
0.000648875,1,0,0,1,0,0,0,1,648.875,,,,,
0.000649,1,0,0,0,0,0,0,1,649,,,,,
0.0006495,1,0,0,1,0,0,0,1,649.5,,,,,
0.000649625,1,0,0,0,0,0,0,1,649.625,,,,,
0.00064975,1,0,0,1,0,0,0,1,649.75,,,,,
0.000649875,1,0,0,0,0,0,0,1,649.875,,,,,
0.00065,1,0,0,1,0,0,0,1,650,,,,,
0.000650125,1,0,0,0,0,0,0,1,650.125,,,,,
0.00065025,1,0,0,1,0,0,0,1,650.25,,,,,
0.000650375,1,0,0,0,0,0,0,1,650.375,,,,,
0.0006505,1,0,0,1,0,0,0,1,650.5,,,,,
0.00065075,1,0,0,0,0,0,0,1,650.75,,,,,
0.000650875,1,0,0,1,0,0,0,1,650.875,,,,,
0.000651,1,0,0,0,0,0,0,1,651,,,,,
0.000651125,1,0,0,1,0,0,0,1,651.125,,,,,
0.00065125,1,0,0,0,0,0,0,1,651.25,,,,,
0.000651375,1,0,0,1,0,0,0,1,651.375,,,,,
0.0006515,1,0,0,0,0,0,0,1,651.5,,,,,
0.000652,1,0,0,1,0,0,0,1,652,,,,,
0.000652125,1,0,0,0,0,0,0,1,652.125,,,,,
0.00065225,1,0,0,1,0,0,0,1,652.25,,,,,
0.000652375,1,0,0,0,0,0,0,1,652.375,,,,,
0.0006525,1,0,0,1,0,0,0,1,652.5,,,,,
0.000652625,1,0,0,0,0,0,0,1,652.625,,,,,
0.00065275,1,0,0,1,0,0,0,1,652.75,,,,,
0.000652875,1,0,0,0,0,0,0,1,652.875,,,,,
0.000653,1,0,0,1,0,0,0,1,653,,,,,
0.000653125,1,0,0,0,0,0,0,1,653.125,,,,,
0.00065325,1,0,0,1,0,0,0,1,653.25,,,,,
0.000653375,1,0,0,0,0,0,0,1,653.375,,,,,
0.0006535,1,0,0,1,0,0,0,1,653.5,,,,,
0.000653625,1,0,0,0,0,0,0,1,653.625,,,,,
0.00065375,1,0,0,1,0,0,0,1,653.75,,,,,
