Time [s],Channel 0,Channel 1,resp_gpio10,ce,csn,sck,miso,mosi
-0.010000000,1,1,0,1,1,0,0,0
-0.000000000,1,1,0,0,1,0,0,0
0.005902417,1,1,0,0,0,0,0,0
0.005945083,1,1,0,0,0,1,0,0
0.005945250,1,1,0,0,0,0,0,0
0.005945333,1,1,0,0,0,1,0,0
0.005945500,1,1,0,0,0,0,0,1
0.005945583,1,1,0,0,0,1,0,1
0.005945750,1,1,0,0,0,0,0,0
0.005945833,1,1,0,0,0,1,0,0
0.005946000,1,1,0,0,0,0,1,0
0.005946167,1,1,0,0,0,1,1,0
0.005946250,1,1,0,0,0,0,1,0
0.005946417,1,1,0,0,0,1,1,0
0.005946500,1,1,0,0,0,0,1,1
0.005946667,1,1,0,0,0,1,1,1
0.005946750,1,1,0,0,0,0,0,1
0.005946917,1,1,0,0,0,1,0,1
0.005947000,1,1,0,0,0,0,0,0
0.005988167,1,1,0,0,0,1,0,0
0.005988250,1,1,0,0,0,0,0,0
0.005988417,1,1,0,0,0,1,0,0
0.005988500,1,1,0,0,0,0,0,0
0.005988667,1,1,0,0,0,1,0,0
0.005988750,1,1,0,0,0,0,0,0
0.005988917,1,1,0,0,0,1,0,0
0.005989000,1,1,0,0,0,0,0,0
0.005989167,1,1,0,0,0,1,0,0
0.005989250,1,1,0,0,0,0,0,0
0.005989417,1,1,0,0,0,1,0,0
0.005989500,1,1,0,0,0,0,0,1
0.005989667,1,1,0,0,0,1,0,1
0.005989833,1,1,0,0,0,0,0,1
0.005989917,1,1,0,0,0,1,0,1
0.005990083,1,1,0,0,0,0,0,0
0.005999417,1,1,0,0,1,0,0,0
0.006036167,1,1,0,0,0,0,0,0
0.006053000,1,1,0,0,0,1,0,0
0.006053083,1,1,0,0,0,0,0,0
0.006053250,1,1,0,0,0,1,0,0
0.006053333,1,1,0,0,0,0,0,0
0.006053500,1,1,0,0,0,1,0,0
0.006053667,1,1,0,0,0,0,0,0
0.006053750,1,1,0,0,0,1,0,0
0.006053917,1,1,0,0,0,0,1,0
0.006054000,1,1,0,0,0,1,1,0
0.006054167,1,1,0,0,0,0,1,0
0.006054250,1,1,0,0,0,1,1,0
0.006054417,1,1,0,0,0,0,1,1
0.006054500,1,1,0,0,0,1,1,1
0.006054667,1,1,0,0,0,0,0,1
0.006054750,1,1,0,0,0,1,0,1
0.006054917,1,1,0,0,0,0,0,0
0.006066250,1,1,0,0,0,1,0,0
0.006066333,1,1,0,0,0,0,0,0
0.006066500,1,1,0,0,0,1,0,0
0.006066667,1,1,0,0,0,0,0,0
0.006066750,1,1,0,0,0,1,0,0
0.006066917,1,1,0,0,0,0,0,0
0.006067000,1,1,0,0,0,1,0,0
0.006067167,1,1,0,0,0,0,0,0
0.006067250,1,1,0,0,0,1,0,0
0.006067417,1,1,0,0,0,0,0,0
0.006067500,1,1,0,0,0,1,0,0
0.006067667,1,1,0,0,0,0,1,0
0.006067750,1,1,0,0,0,1,1,0
0.006067917,1,1,0,0,0,0,1,0
0.006068000,1,1,0,0,0,1,1,0
0.006068167,1,1,0,0,0,0,0,0
0.006075500,1,1,0,0,1,0,0,0
0.006129750,1,1,0,0,0,0,0,0
0.006143750,1,1,0,0,0,1,0,0
0.006143833,1,1,0,0,0,0,0,0
0.006144000,1,1,0,0,0,1,0,0
0.006144083,1,1,0,0,0,0,0,1
0.006144250,1,1,0,0,0,1,0,1
0.006144333,1,1,0,0,0,0,0,1
0.006144500,1,1,0,0,0,1,0,1
0.006144583,1,1,0,0,0,0,0,1
0.006144667,1,1,0,0,0,0,1,1
0.006144750,1,1,0,0,0,1,1,1
0.006144917,1,1,0,0,0,0,1,1
0.006145000,1,1,0,0,0,1,1,1
0.006145167,1,1,0,0,0,0,1,0
0.006145250,1,1,0,0,0,1,1,0
0.006145417,1,1,0,0,0,0,0,0
0.006145500,1,1,0,0,0,1,0,0
0.006145667,1,1,0,0,0,0,0,0
0.006164500,1,1,0,0,0,1,0,0
0.006164667,1,1,0,0,0,0,0,0
0.006164750,1,1,0,0,0,1,0,0
0.006164917,1,1,0,0,0,0,0,0
0.006165000,1,1,0,0,0,1,0,0
0.006165167,1,1,0,0,0,0,0,0
0.006165250,1,1,0,0,0,1,0,0
0.006165417,1,1,0,0,0,0,0,0
0.006165500,1,1,0,0,0,1,0,0
0.006165667,1,1,0,0,0,0,0,0
0.006165750,1,1,0,0,0,1,0,0
0.006165917,1,1,0,0,0,0,0,0
0.006166083,1,1,0,0,0,1,0,0
0.006166167,1,1,0,0,0,0,0,0
0.006166333,1,1,0,0,0,1,0,0
0.006166417,1,1,0,0,0,0,0,0
0.006177000,1,1,0,0,1,0,0,0
0.006209083,1,1,0,0,0,0,0,0
0.006222750,1,1,0,0,0,1,0,0
0.006222833,1,1,0,0,0,0,0,0
0.006223000,1,1,0,0,0,1,0,0
0.006223083,1,1,0,0,0,0,0,1
0.006223250,1,1,0,0,0,1,0,1
0.006223333,1,1,0,0,0,0,0,0
0.006223500,1,1,0,0,0,1,0,0
0.006223583,1,1,0,0,0,0,0,0
0.006223667,1,1,0,0,0,0,1,0
0.006223750,1,1,0,0,0,1,1,0
0.006223833,1,1,0,0,0,0,1,1
0.006224000,1,1,0,0,0,1,1,1
0.006224083,1,1,0,0,0,0,1,0
0.006224250,1,1,0,0,0,1,1,0
0.006224417,1,1,0,0,0,0,0,0
0.006224500,1,1,0,0,0,1,0,0
0.006224667,1,1,0,0,0,0,0,0
0.006245500,1,1,0,0,0,1,0,0
0.006245667,1,1,0,0,0,0,0,1
0.006245750,1,1,0,0,0,1,0,1
0.006245917,1,1,0,0,0,0,0,1
0.006246000,1,1,0,0,0,1,0,1
0.006246167,1,1,0,0,0,0,0,0
0.006246250,1,1,0,0,0,1,0,0
0.006246417,1,1,0,0,0,0,0,1
0.006246500,1,1,0,0,0,1,0,1
0.006246667,1,1,0,0,0,0,0,0
0.006246833,1,1,0,0,0,1,0,0
0.006246917,1,1,0,0,0,0,0,0
0.006247083,1,1,0,0,0,1,0,0
0.006247167,1,1,0,0,0,0,0,0
0.006247333,1,1,0,0,0,1,0,0
0.006247417,1,1,0,0,0,0,0,0
0.006257583,1,1,0,0,1,0,0,0
0.006304667,1,1,0,0,0,0,0,0
0.006319500,1,1,0,0,0,1,0,0
0.006319583,1,1,0,0,0,0,0,0
0.006319750,1,1,0,0,0,1,0,0
0.006319833,1,1,0,0,0,0,0,0
0.006320000,1,1,0,0,0,1,0,0
0.006320167,1,1,0,0,0,0,0,0
0.006320250,1,1,0,0,0,1,0,0
0.006320417,1,1,0,0,0,0,1,0
0.006320500,1,1,0,0,0,1,1,0
0.006320667,1,1,0,0,0,0,1,1
0.006320750,1,1,0,0,0,1,1,1
0.006320917,1,1,0,0,0,0,1,1
0.006321000,1,1,0,0,0,1,1,1
0.006321167,1,1,0,0,0,0,0,0
0.006321250,1,1,0,0,0,1,0,0
0.006321417,1,1,0,0,0,0,0,0
0.006332333,1,1,0,0,0,1,0,0
0.006332500,1,1,0,0,0,0,0,0
0.006332583,1,1,0,0,0,1,0,0
0.006332750,1,1,0,0,0,0,1,0
0.006332833,1,1,0,0,0,1,1,0
0.006333000,1,1,0,0,0,0,0,0
0.006333167,1,1,0,0,0,1,0,0
0.006333250,1,1,0,0,0,0,0,0
0.006333417,1,1,0,0,0,1,0,0
0.006333500,1,1,0,0,0,0,1,0
0.006333667,1,1,0,0,0,1,1,0
0.006333750,1,1,0,0,0,0,1,0
0.006333917,1,1,0,0,0,1,1,0
0.006334000,1,1,0,0,0,0,1,0
0.006334167,1,1,0,0,0,1,1,0
0.006334250,1,1,0,0,0,0,1,0
0.006334333,1,1,0,0,0,0,0,0
0.006342000,1,1,0,0,1,0,0,0
0.006382667,1,1,0,0,0,0,0,0
0.006398667,1,1,0,0,0,1,0,0
0.006398833,1,1,0,0,0,0,0,0
0.006398917,1,1,0,0,0,1,0,0
0.006399083,1,1,0,0,0,0,0,1
0.006399167,1,1,0,0,0,1,0,1
0.006399333,1,1,0,0,0,0,0,0
0.006399417,1,1,0,0,0,1,0,0
0.006399583,1,1,0,0,0,0,1,0
0.006399667,1,1,0,0,0,1,1,0
0.006399833,1,1,0,0,0,0,1,1
0.006400000,1,1,0,0,0,1,1,1
0.006400083,1,1,0,0,0,0,1,1
0.006400250,1,1,0,0,0,1,1,1
0.006400333,1,1,0,0,0,0,0,0
0.006400500,1,1,0,0,0,1,0,0
0.006400583,1,1,0,0,0,0,0,0
0.006421500,1,1,0,0,0,1,0,0
0.006421583,1,1,0,0,0,0,0,0
0.006421750,1,1,0,0,0,1,0,0
0.006421917,1,1,0,0,0,0,0,1
0.006422000,1,1,0,0,0,1,0,1
0.006422167,1,1,0,0,0,0,0,0
0.006422250,1,1,0,0,0,1,0,0
0.006422417,1,1,0,0,0,0,0,0
0.006422500,1,1,0,0,0,1,0,0
0.006422667,1,1,0,0,0,0,0,1
0.006422750,1,1,0,0,0,1,0,1
0.006422917,1,1,0,0,0,0,0,1
0.006423000,1,1,0,0,0,1,0,1
0.006423167,1,1,0,0,0,0,0,1
0.006423250,1,1,0,0,0,1,0,1
0.006423417,1,1,0,0,0,0,0,0
0.006433583,1,1,0,0,1,0,0,0
0.006484833,1,1,0,0,0,0,0,0
0.006498000,1,1,0,0,0,1,0,0
0.006498167,1,1,0,0,0,0,0,0
0.006498250,1,1,0,0,0,1,0,0
0.006498417,1,1,0,0,0,0,0,0
0.006498500,1,1,0,0,0,1,0,0
0.006498667,1,1,0,0,0,0,0,0
0.006498750,1,1,0,0,0,1,0,0
0.006498917,1,1,0,0,0,0,1,0
0.006499000,1,1,0,0,0,1,1,0
0.006499167,1,1,0,0,0,0,1,0
0.006499333,1,1,0,0,0,1,1,0
0.006499417,1,1,0,0,0,0,1,0
0.006499583,1,1,0,0,0,1,1,0
0.006499667,1,1,0,0,0,0,0,0
0.006499833,1,1,0,0,0,1,0,0
0.006499917,1,1,0,0,0,0,0,0
0.006509667,1,1,0,0,0,1,0,0
0.006509750,1,1,0,0,0,0,0,0
0.006509917,1,1,0,0,0,1,0,0
