Time [s],Channel 0,Channel 1,resp_gpio10,ce,csn,sck,miso,mosi
-0.010000000,1,1,0,1,1,0,0,0
0.000000000,1,1,0,0,1,0,0,0
0.005893250,1,1,0,0,0,0,0,0
0.005937917,1,1,0,0,0,1,0,0
0.005938000,1,1,0,0,0,0,0,0
0.005938167,1,1,0,0,0,1,0,0
0.005938250,1,1,0,0,0,0,0,1
0.005938417,1,1,0,0,0,1,0,1
0.005938500,1,1,0,0,0,0,0,0
0.005938667,1,1,0,0,0,1,0,0
0.005938750,1,1,0,0,0,0,0,0
0.005938833,1,1,0,0,0,0,1,0
0.005938917,1,1,0,0,0,1,1,0
0.005939083,1,1,0,0,0,0,1,0
0.005939167,1,1,0,0,0,1,1,0
0.005939333,1,1,0,0,0,0,1,1
0.005939417,1,1,0,0,0,1,1,1
0.005939583,1,1,0,0,0,0,0,1
0.005939667,1,1,0,0,0,1,0,1
0.005939833,1,1,0,0,0,0,0,0
0.005981750,1,1,0,0,0,1,0,0
0.005981833,1,1,0,0,0,0,0,0
0.005982000,1,1,0,0,0,1,0,0
0.005982083,1,1,0,0,0,0,0,0
0.005982250,1,1,0,0,0,1,0,0
0.005982333,1,1,0,0,0,0,0,0
0.005982500,1,1,0,0,0,1,0,0
0.005982583,1,1,0,0,0,0,0,0
0.005982750,1,1,0,0,0,1,0,0
0.005982833,1,1,0,0,0,0,0,0
0.005983000,1,1,0,0,0,1,0,0
0.005983083,1,1,0,0,0,0,0,1
0.005983250,1,1,0,0,0,1,0,1
0.005983417,1,1,0,0,0,0,0,1
0.005983500,1,1,0,0,0,1,0,1
0.005983667,1,1,0,0,0,0,0,0
0.005993417,1,1,0,0,1,0,0,0
0.006041417,1,1,0,0,0,0,0,0
0.006059833,1,1,0,0,0,1,0,0
0.006059917,1,1,0,0,0,0,0,0
0.006060083,1,1,0,0,0,1,0,0
0.006060250,1,1,0,0,0,0,0,0
0.006060333,1,1,0,0,0,1,0,0
0.006060500,1,1,0,0,0,0,0,0
0.006060583,1,1,0,0,0,1,0,0
0.006060750,1,1,0,0,0,0,1,0
0.006060833,1,1,0,0,0,1,1,0
0.006061000,1,1,0,0,0,0,1,0
0.006061083,1,1,0,0,0,1,1,0
0.006061250,1,1,0,0,0,0,1,1
0.006061333,1,1,0,0,0,1,1,1
0.006061500,1,1,0,0,0,0,0,1
0.006061583,1,1,0,0,0,1,0,1
0.006061750,1,1,0,0,0,0,0,0
0.006073083,1,1,0,0,0,1,0,0
0.006073250,1,1,0,0,0,0,0,0
0.006073333,1,1,0,0,0,1,0,0
0.006073500,1,1,0,0,0,0,0,0
0.006073583,1,1,0,0,0,1,0,0
0.006073750,1,1,0,0,0,0,0,0
0.006073833,1,1,0,0,0,1,0,0
0.006074000,1,1,0,0,0,0,0,0
0.006074083,1,1,0,0,0,1,0,0
0.006074250,1,1,0,0,0,0,0,0
0.006074333,1,1,0,0,0,1,0,0
0.006074500,1,1,0,0,0,0,1,0
0.006074583,1,1,0,0,0,1,1,0
0.006074750,1,1,0,0,0,0,1,0
0.006074917,1,1,0,0,0,1,1,0
0.006075000,1,1,0,0,0,0,0,0
0.006081500,1,1,0,0,1,0,0,0
0.006135000,1,1,0,0,0,0,0,0
0.006154667,1,1,0,0,0,1,0,0
0.006154750,1,1,0,0,0,0,0,0
0.006154917,1,1,0,0,0,1,0,0
0.006155000,1,1,0,0,0,0,0,1
0.006155167,1,1,0,0,0,1,0,1
0.006155250,1,1,0,0,0,0,0,1
0.006155417,1,1,0,0,0,1,0,1
0.006155500,1,1,0,0,0,0,1,1
0.006155667,1,1,0,0,0,1,1,1
0.006155750,1,1,0,0,0,0,1,1
0.006155917,1,1,0,0,0,1,1,1
0.006156000,1,1,0,0,0,0,1,0
0.006156167,1,1,0,0,0,1,1,0
0.006156250,1,1,0,0,0,0,1,0
0.006156333,1,1,0,0,0,0,0,0
0.006156417,1,1,0,0,0,1,0,0
0.006156583,1,1,0,0,0,0,0,0
0.006180250,1,1,0,0,0,1,0,0
0.006180333,1,1,0,0,0,0,0,0
0.006180500,1,1,0,0,0,1,0,0
0.006180583,1,1,0,0,0,0,0,0
0.006180750,1,1,0,0,0,1,0,0
0.006180917,1,1,0,0,0,0,0,0
0.006181000,1,1,0,0,0,1,0,0
0.006181167,1,1,0,0,0,0,0,0
0.006181250,1,1,0,0,0,1,0,0
0.006181417,1,1,0,0,0,0,0,0
0.006181500,1,1,0,0,0,1,0,0
0.006181667,1,1,0,0,0,0,0,0
0.006181750,1,1,0,0,0,1,0,0
0.006181917,1,1,0,0,0,0,0,0
0.006182000,1,1,0,0,0,1,0,0
0.006182167,1,1,0,0,0,0,0,0
0.006191083,1,1,0,0,1,0,0,0
0.006224917,1,1,0,0,0,0,0,0
0.006238833,1,1,0,0,0,1,0,0
0.006239000,1,1,0,0,0,0,0,0
0.006239083,1,1,0,0,0,1,0,0
0.006239250,1,1,0,0,0,0,0,1
0.006239417,1,1,0,0,0,1,0,1
0.006239500,1,1,0,0,0,0,0,0
0.006239667,1,1,0,0,0,1,0,0
0.006239750,1,1,0,0,0,0,1,0
0.006239917,1,1,0,0,0,1,1,0
0.006240000,1,1,0,0,0,0,1,1
0.006240167,1,1,0,0,0,1,1,1
0.006240250,1,1,0,0,0,0,1,0
0.006240417,1,1,0,0,0,1,1,0
0.006240500,1,1,0,0,0,0,1,0
0.006240583,1,1,0,0,0,0,0,0
0.006240667,1,1,0,0,0,1,0,0
0.006240750,1,1,0,0,0,0,0,0
0.006263250,1,1,0,0,0,1,0,0
0.006263417,1,1,0,0,0,0,0,1
0.006263500,1,1,0,0,0,1,0,1
0.006263667,1,1,0,0,0,0,0,1
0.006263750,1,1,0,0,0,1,0,1
0.006263917,1,1,0,0,0,0,0,0
0.006264083,1,1,0,0,0,1,0,0
0.006264167,1,1,0,0,0,0,0,1
0.006264333,1,1,0,0,0,1,0,1
0.006264417,1,1,0,0,0,0,0,0
0.006264583,1,1,0,0,0,1,0,0
0.006264667,1,1,0,0,0,0,0,0
0.006264833,1,1,0,0,0,1,0,0
0.006264917,1,1,0,0,0,0,0,0
0.006265083,1,1,0,0,0,1,0,0
0.006265167,1,1,0,0,0,0,0,0
0.006274917,1,1,0,0,1,0,0,0
0.006323667,1,1,0,0,0,0,0,0
0.006339250,1,1,0,0,0,1,0,0
0.006339417,1,1,0,0,0,0,0,0
0.006339500,1,1,0,0,0,1,0,0
0.006339667,1,1,0,0,0,0,0,0
0.006339750,1,1,0,0,0,1,0,0
0.006339917,1,1,0,0,0,0,0,0
0.006340083,1,1,0,0,0,1,0,0
0.006340167,1,1,0,0,0,0,1,0
0.006340333,1,1,0,0,0,1,1,0
0.006340417,1,1,0,0,0,0,1,1
0.006340583,1,1,0,0,0,1,1,1
0.006340667,1,1,0,0,0,0,1,1
0.006340833,1,1,0,0,0,1,1,1
0.006340917,1,1,0,0,0,0,1,0
0.006341000,1,1,0,0,0,0,0,0
0.006341083,1,1,0,0,0,1,0,0
0.006341167,1,1,0,0,0,0,0,0
0.006352167,1,1,0,0,0,1,0,0
0.006352250,1,1,0,0,0,0,0,0
0.006352417,1,1,0,0,0,1,0,0
0.006352500,1,1,0,0,0,0,0,0
0.006352583,1,1,0,0,0,0,1,0
0.006352667,1,1,0,0,0,1,1,0
0.006352750,1,1,0,0,0,0,1,0
0.006352833,1,1,0,0,0,0,0,0
0.006352917,1,1,0,0,0,1,0,0
0.006353083,1,1,0,0,0,0,0,0
0.006353167,1,1,0,0,0,1,0,0
0.006353333,1,1,0,0,0,0,1,0
0.006353417,1,1,0,0,0,1,1,0
0.006353583,1,1,0,0,0,0,1,0
0.006353667,1,1,0,0,0,1,1,0
0.006353833,1,1,0,0,0,0,1,0
0.006353917,1,1,0,0,0,1,1,0
0.006354083,1,1,0,0,0,0,0,0
0.006360167,1,1,0,0,1,0,0,0
0.006404083,1,1,0,0,0,0,0,0
0.006418917,1,1,0,0,0,1,0,0
0.006419000,1,1,0,0,0,0,0,0
0.006419167,1,1,0,0,0,1,0,0
0.006419250,1,1,0,0,0,0,0,1
0.006419417,1,1,0,0,0,1,0,1
0.006419500,1,1,0,0,0,0,0,0
0.006419667,1,1,0,0,0,1,0,0
0.006419750,1,1,0,0,0,0,1,0
0.006419917,1,1,0,0,0,1,1,0
0.006420000,1,1,0,0,0,0,1,1
0.006420167,1,1,0,0,0,1,1,1
0.006420250,1,1,0,0,0,0,1,1
0.006420417,1,1,0,0,0,1,1,1
0.006420500,1,1,0,0,0,0,1,0
0.006420583,1,1,0,0,0,0,0,0
0.006420667,1,1,0,0,0,1,0,0
0.006420833,1,1,0,0,0,0,0,0
0.006439667,1,1,0,0,0,1,0,0
0.006439833,1,1,0,0,0,0,0,0
0.006439917,1,1,0,0,0,1,0,0
0.006440083,1,1,0,0,0,0,0,1
0.006440167,1,1,0,0,0,1,0,1
0.006440333,1,1,0,0,0,0,0,0
0.006440417,1,1,0,0,0,1,0,0
0.006440583,1,1,0,0,0,0,0,0
0.006440667,1,1,0,0,0,1,0,0
0.006440833,1,1,0,0,0,0,0,1
0.006440917,1,1,0,0,0,1,0,1
0.006441083,1,1,0,0,0,0,0,1
0.006441167,1,1,0,0,0,1,0,1
0.006441333,1,1,0,0,0,0,0,1
0.006441500,1,1,0,0,0,1,0,1
0.006441583,1,1,0,0,0,0,0,0
0.006450917,1,1,0,0,1,0,0,0
0.006504583,1,1,0,0,0,0,0,0
0.006519000,1,1,0,0,0,1,0,0
0.006519083,1,1,0,0,0,0,0,0
0.006519250,1,1,0,0,0,1,0,0
0.006519333,1,1,0,0,0,0,0,0
0.006519500,1,1,0,0,0,1,0,0
0.006519583,1,1,0,0,0,0,0,0
0.006519750,1,1,0,0,0,1,0,0
0.006519833,1,1,0,0,0,0,0,0
0.006519917,1,1,0,0,0,0,1,0
0.006520000,1,1,0,0,0,1,1,0
0.006520167,1,1,0,0,0,0,1,0
0.006520250,1,1,0,0,0,1,1,0
0.006520417,1,1,0,0,0,0,1,0
0.006520500,1,1,0,0,0,1,1,0
0.006520667,1,1,0,0,0,0,0,0
